type,client,tx,amount
deposit,1,501,100.0000
deposit,2,17,250.5
deposit,3,9042,75.2500
deposit,1,12,50.1250
withdrawal,1,700,25.0000
deposit,4,88,1000.0000
withdrawal,2,302,100.5000
deposit,3,45,24.7500
withdrawal,3,8001,20.0000
deposit,5,100,500.0000
withdrawal,4,91,125.5000
deposit,2,999,75.0000
deposit,1,31415,0.0001
withdrawal,5,76,100.0000
deposit,6,42,80.0000
deposit,7,7000,150.0000
withdrawal,7,13,25.0000
deposit,8,601,100.0000
deposit,9,77,1000.0000
withdrawal,9,200,350.0000
deposit,10,5000,42.4200
withdrawal,6,900,30.0000
deposit,4,1234,250.0000
withdrawal,8,19,10.0000
deposit,5,555,125.7500
deposit,3,321,0.7500
withdrawal,2,600,50.0000
deposit,10,6000,7.5800
deposit,11,111,300.0000
withdrawal,11,222,75.0000
deposit,12,9876,100.0000
withdrawal,12,5432,25.0000
deposit,13,135,100.0000
deposit,14,246,200.0000
withdrawal,14,357,50.0000
deposit,15,468,1000.0000
withdrawal,15,579,250.0000
deposit,16,680,10.0000
deposit,17,791,20.0000
withdrawal,17,802,5.0000
deposit,18,913,60.0000
withdrawal,18,1024,15.0000
deposit,19,1135,500.0000
withdrawal,19,1246,125.0000
deposit,20,1357,100.0000
withdrawal,20,1468,99.9999
deposit,1,20001,10.0000
withdrawal,1,20002,5.0000
dispute,1,501,
resolve,1,501,
dispute,2,17,
chargeback,2,17,
deposit,2,6789,10.00
dispute,3,9042,
dispute,4,88,
resolve,3,9042,
dispute,5,100,
dispute,7,7000,
resolve,7,7000,
dispute,9,77,
resolve,9,77,
dispute,11,111,
resolve,11,111,
dispute,15,468,
resolve,15,468,
dispute,1,12,
dispute,2,999,
resolve,1,12,
resolve,2,999,
dispute,10,5000,
resolve,10,5000,
dispute,20,1357,
resolve,20,1357,
dispute,4,1234,
resolve,4,1234,
dispute,5,555,
resolve,5,555,
